fold,image_path,true_label,predicted_label,correct
0,action_crops_kfold/images/000434_2.jpg,0,0,1
0,action_crops_kfold/images/000902_2.jpg,0,0,1
0,action_crops_kfold/images/000091_1.jpg,3,0,0
0,action_crops_kfold/images/000886_2.jpg,1,1,1
0,action_crops_kfold/images/000499_1.jpg,3,3,1
0,action_crops_kfold/images/001020_3.jpg,0,0,1
0,action_crops_kfold/images/000257_0.jpg,0,0,1
0,action_crops_kfold/images/000382_2.jpg,3,3,1
0,action_crops_kfold/images/000771_0.jpg,2,2,1
0,action_crops_kfold/images/000454_1.jpg,0,0,1
0,action_crops_kfold/images/001122_0.jpg,1,1,1
0,action_crops_kfold/images/000497_1.jpg,3,3,1
0,action_crops_kfold/images/000506_4.jpg,0,0,1
0,action_crops_kfold/images/000514_4.jpg,0,0,1
0,action_crops_kfold/images/000358_1.jpg,0,0,1
0,action_crops_kfold/images/000971_0.jpg,0,0,1
0,action_crops_kfold/images/000317_4.jpg,0,0,1
0,action_crops_kfold/images/000478_2.jpg,0,0,1
0,action_crops_kfold/images/000274_4.jpg,0,0,1
0,action_crops_kfold/images/000182_4.jpg,1,1,1
0,action_crops_kfold/images/000766_1.jpg,1,1,1
0,action_crops_kfold/images/000275_1.jpg,0,0,1
0,action_crops_kfold/images/000195_1.jpg,1,1,1
0,action_crops_kfold/images/000494_1.jpg,0,3,0
0,action_crops_kfold/images/000103_3.jpg,3,3,1
0,action_crops_kfold/images/000982_2.jpg,1,1,1
0,action_crops_kfold/images/000987_0.jpg,1,1,1
0,action_crops_kfold/images/000419_0.jpg,0,0,1
0,action_crops_kfold/images/000530_2.jpg,0,0,1
0,action_crops_kfold/images/000558_1.jpg,0,0,1
0,action_crops_kfold/images/000014_0.jpg,0,0,1
0,action_crops_kfold/images/001104_1.jpg,1,1,1
0,action_crops_kfold/images/000498_3.jpg,1,1,1
0,action_crops_kfold/images/000689_4.jpg,2,2,1
0,action_crops_kfold/images/000181_1.jpg,1,1,1
0,action_crops_kfold/images/000358_0.jpg,3,3,1
0,action_crops_kfold/images/000419_3.jpg,0,0,1
0,action_crops_kfold/images/000571_0.jpg,3,3,1
0,action_crops_kfold/images/000570_2.jpg,0,0,1
0,action_crops_kfold/images/000970_1.jpg,0,0,1
0,action_crops_kfold/images/000608_2.jpg,0,0,1
